condition,replicate,beta_origin,R2_origin,slope,intercept,R2,E0,beta_origin_delta,R2_origin_delta
coherent_bin_bitflip_p0.10,6,11.69385775405686,-2.2268020385881218,5.494615173296416,0.6128907643896391,0.8419208326625449,0.3515625,8.137887675165201,0.12425803506575694
coherent_bin_bitflip_p0.10,7,14.553937206867074,-0.7131414064620936,8.043843781525384,0.6436231658507213,0.8144977147059923,0.3125,11.393074914518934,0.30603959695505534
coherent_bin_bitflip_p0.10,8,9.365054086804811,-6.309092608105499,3.462247998258817,0.5835834440292205,0.8615346425029706,0.484375,4.465717533665194,0.611325196646183
coherent_bin_bitflip_p0.10,9,10.575929052055395,-1.1323299156871731,5.590081955420317,0.49292790181662666,0.8861205929625144,0.3984375,6.5458296293115135,0.7966232217971415
coherent_bin_bitflip_p0.10,10,10.084933810248947,-1.7071878495334643,5.029879601219357,0.49977009253010374,0.9022496727489395,0.3359375,6.687006845974694,0.565014276226721
coherent_bin_bitflip_p0.10,11,10.031716617248955,-1.7084853239157227,4.996674787415244,0.49779156011701853,0.8956421598897658,0.390625,6.080638751813781,0.7526272105911662
coherent_bin_bitflip_p0.10,12,10.244930060188025,-1.5642354992018128,5.170499845585605,0.5016857095932605,0.889784620256319,0.421875,5.977765965518037,0.8144242237144839
coherent_bin_bitflip_p0.10,13,8.705353909330872,-3.800670722168716,3.4199475229958085,0.5225439588836693,0.6508954451785578,0.453125,4.122103585426068,0.5436208722235747
coherent_bin_bitflip_p0.10,14,10.209957448898743,-1.6595328244799958,5.132949640722196,0.5019405444824185,0.9212783325359781,0.40625,6.10083646884616,0.8117130810113253
coherent_bin_bitflip_p0.10,15,11.773178026179467,-4.397622495154664,4.426503456434157,0.7263321178537895,0.6384859902845208,0.53125,6.399712129187628,0.16991068415604804
coherent_bin_bitflip_p0.10,16,14.65701679572629,-0.39826857016531947,8.542240833639227,0.6045399360731603,0.8523852322205882,0.375,10.863982044908521,0.6342969768390382
coherent_bin_bitflip_p0.10,17,10.167976528514037,-1.6632256173863311,5.0441539519146765,0.50656890654917,0.8509391995272326,0.3671875,6.453963335004973,0.6204780284537479
coherent_bin_bitflip_p0.10,18,12.861763742230593,-1.4818557370606382,6.45546917422329,0.633361047505509,0.8142273901276922,0.4140625,8.673621204869308,0.474392594986074
coherent_bin_bitflip_p0.10,19,10.395045743205694,-1.502624330606416,5.336413278972498,0.5001238582584733,0.9552196771074372,0.4921875,5.416687632757373,0.9527170952741058
coherent_bin_bitflip_p0.10,20,7.898961780167848,-9.65868723054826,2.423661871893153,0.5413178630014761,0.7094911495530265,0.5,2.8415821124108227,0.6264159932782551
coherent_bin_bitflip_p0.10,21,9.930268470834905,-1.7574593625975203,4.881260635932483,0.49917231517064314,0.8516480310873491,0.3046875,6.848427735795467,0.35841100080453514
coherent_bin_bitflip_p0.10,22,8.118149519384982,-7.536885764262905,2.7928576894070734,0.5264872502977125,0.8008990049341109,0.484375,3.2188129662453635,0.7304744353123799
