condition,replicate,n,k,theta,theta2,lambda,sign_changes_half,C,E
coherent_bin_bitflip_p0.01,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.65234375,0.6953125
coherent_bin_bitflip_p0.01,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.625,0.75
coherent_bin_bitflip_p0.01,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.37890625,1.2421875
coherent_bin_bitflip_p0.02,1,512,0,0.0,0.0,0.9999899449739952,2,0.953125,0.09375
coherent_bin_bitflip_p0.02,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.93359375,0.1328125
coherent_bin_bitflip_p0.02,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.9296875,0.140625
coherent_bin_bitflip_p0.02,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.9296875,0.140625
coherent_bin_bitflip_p0.02,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.90625,0.1875
coherent_bin_bitflip_p0.02,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.90234375,0.1953125
coherent_bin_bitflip_p0.02,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.8828125,0.234375
coherent_bin_bitflip_p0.02,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.8359375,0.328125
coherent_bin_bitflip_p0.02,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.8046875,0.390625
coherent_bin_bitflip_p0.02,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.76171875,0.4765625
coherent_bin_bitflip_p0.02,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.7578125,0.484375
coherent_bin_bitflip_p0.02,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.6953125,0.609375
coherent_bin_bitflip_p0.02,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.6796875,0.640625
coherent_bin_bitflip_p0.02,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.66015625,0.6796875
coherent_bin_bitflip_p0.02,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.609375,0.78125
coherent_bin_bitflip_p0.02,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.3671875,1.265625
coherent_bin_bitflip_p0.05,1,512,0,0.0,0.0,0.9999899449739952,2,0.90234375,0.1953125
coherent_bin_bitflip_p0.05,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.875,0.25
coherent_bin_bitflip_p0.05,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.87890625,0.2421875
coherent_bin_bitflip_p0.05,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.859375,0.28125
coherent_bin_bitflip_p0.05,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.84765625,0.3046875
coherent_bin_bitflip_p0.05,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.84375,0.3125
coherent_bin_bitflip_p0.05,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.8515625,0.296875
coherent_bin_bitflip_p0.05,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.78125,0.4375
